(*attack_name element PP power accuracy crit_chance effect_num effect_chance*)
FutureSight Psychic 10 100 100 7 0 0
Bubble Water 30 20 100 7 12 10
Ember Fire 25 40 100 7 10 10
Acid Poison 30 40 100 7 11 10
Spark Electric 20 65 100 7 4 30
Twineedle Bug 20 25 100 7 1 20
CometPunch Normal 15 18 85 7 0 0
Supersonic Normal 20 0 55 7 2 100
BubbleBeam Water 20 65 100 7 12 10
Clamp Water 10 35 85 7 0 0
BodySlam Normal 15 85 100 7 4 30
SandAttack Ground 15 0 100 7 13 100
Rollout Rock 20 30 90 7 0 0
SludgeBomb Poison 10 90 100 7 1 30
Barrage Normal 20 15 85 7 0 0
MegaPunch Normal 20 80 85 7 0 0
RazorLeaf Grass 25 55 95 7 0 0
StunSpore Grass 30 0 75 7 4 100
PetalDance Grass 10 120 100 7 0 0
FireBlast Fire 5 120 85 7 10 10
RockThrow Rock 15 50 90 7 0 0
ShadowBall Ghost 15 80 100 7 11 20
AncientPower Rock 5 60 100 7 9 40
SpikeCannon Normal 15 20 100 7 0 0
